# M    H9.0    H11.0    H13.0    H15.0    H17.0    H19.0    H21.0
-3.000000000000000000e+00 1.869272210654719149e-15 2.558178362609890579e-16 6.612053735283199207e-18 1.257205456699177924e-17 3.723572284443555339e-18 2.927632486591377449e-19 1.755644603893778180e-19
-2.799999999999999822e+00 8.850481439738590995e-14 2.382499042167648774e-14 1.415391043655867712e-15 2.755993434790588702e-16 2.993485034985459974e-16 2.849307023865992502e-18 4.325460214164392904e-18
-2.600000000000000089e+00 5.777963885366744389e-12 1.396972761724666136e-13 1.001866087746128959e-13 4.135812896666692619e-15 6.655041044251264477e-15 1.717547765482369344e-17 1.681452438074726085e-16
-2.399999999999999911e+00 9.477734434393471897e-11 7.127164915734475018e-13 1.694229737661560522e-12 8.539941513054925592e-15 4.269079881967810415e-14 8.252099833929655533e-17 1.794669124904164485e-16
-2.200000000000000178e+00 5.084927249866779552e-10 6.141388219054289706e-12 1.279080570443477703e-11 1.766725333886994204e-13 1.161946214139691034e-12 2.621782811105263925e-14 4.960425632013787196e-13
-2.000000000000000000e+00 1.191354659986582410e-08 1.698787034942803986e-10 4.695022235583689158e-10 1.433778648420543780e-11 2.299568105724338060e-10 1.821153017131344640e-11 3.294809950755511827e-10
-1.800000000000000044e+00 3.705192844673898374e-08 7.720921379272696272e-10 3.244382731724375736e-09 1.361955604851431625e-10 1.315158771417261417e-09 2.813130203482890959e-10 6.837846989504719353e-10
-1.600000000000000089e+00 8.163366875089728359e-09 1.268416426640788740e-10 1.194040167770951194e-09 9.504825583192381309e-12 9.559276239606942642e-11 6.408604779785994632e-12 3.514673196027763827e-12
-1.399999999999999911e+00 3.235152869224896306e-09 9.237647797834477775e-11 1.177128559761841305e-09 2.166352773894845524e-11 9.294464331434985773e-12 7.834974450187462462e-12 1.013898971221484398e-10
-1.199999999999999956e+00 1.332807780927414955e-09 4.598180607035531835e-11 2.406861862819118912e-09 2.080728500317343600e-10 5.709501026233893633e-10 2.189718624701575713e-09 1.435690689169973271e-09
-1.000000000000000000e+00 2.363473410957266922e-08 2.909983870954213622e-09 2.053156647108506849e-08 1.313987545844814089e-08 6.853296964410601063e-08 9.426347780269655440e-08 3.735856821525332486e-09
-8.000000000000000444e-01 2.045104546848561301e-06 9.640333253149103211e-09 1.740639193606388225e-06 3.497827796159768864e-07 4.746937995822302233e-06 1.097781247036118065e-06 1.206278964782141356e-07
-5.999999999999999778e-01 8.324696487147921347e-07 4.486356856912607462e-08 4.147531689010247155e-07 3.764359947479174148e-07 5.940125293358225955e-07 7.481436950914697754e-08 1.378411428337422556e-09
-4.000000000000000222e-01 7.845040453970332732e-07 1.670862561762153516e-07 1.477254488315401239e-07 1.321297095231732442e-07 3.932080443307331037e-08 1.138585756440926981e-08 1.420499381010705453e-09
-2.000000000000000111e-01 7.754350947989893230e-08 2.169890288702126332e-08 2.785954792787691885e-08 2.781610615970047177e-08 1.684914701939555042e-08 4.405532781967823141e-09 2.521481375184208766e-10
0.000000000000000000e+00 3.509567969666671612e-09 5.095778041284305549e-10 1.948460651819783659e-10 1.088687844114462836e-10 4.542481306349114245e-10 1.046295302159742261e-10 1.738630232938189566e-12
2.000000000000000111e-01 3.509574452741314168e-10 2.850820781561668983e-12 6.740959161810644224e-12 2.552847652036608564e-11 3.687667160309784836e-10 2.989637002504348089e-11 2.717543188684551448e-11
4.000000000000000222e-01 5.154014809369483018e-09 7.437256913540950571e-11 3.246713717430392561e-10 8.207849451099087415e-11 9.759914644980464030e-10 8.408425980265294160e-11 1.119645985555460010e-10
5.999999999999999778e-01 2.373782563113269469e-09 1.897122959373409148e-09 2.126684021584854128e-09 1.881047703395561446e-09 1.690900200760071785e-08 3.742326714609806795e-10 2.723676641944991207e-10
8.000000000000000444e-01 9.378413785553719963e-09 6.555250368301813460e-08 1.091925432521353184e-07 2.234159129586719876e-07 5.306399363927253156e-07 8.878173100876304300e-09 7.265595306664526745e-09
1.000000000000000000e+00 2.512499091291517003e-11 2.317472467471250037e-08 9.706774032448264708e-10 1.119282453911760444e-08 7.897381806843522082e-09 1.125871689053133427e-09 2.471035880336256497e-10
1.199999999999999956e+00 3.554492147947427083e-11 3.487001811840381378e-10 4.823063168061799726e-12 3.146314459439470085e-11 3.021391171659046369e-12 3.045635315401708044e-11 9.940730727683366845e-12
1.399999999999999911e+00 1.999974630514136792e-11 4.240011085902758551e-10 9.158171840705457950e-12 1.174444245882984182e-12 1.382364438693127674e-13 9.772817449905419587e-13 1.636199098385607109e-12
1.600000000000000089e+00 1.723427952653310939e-10 1.942893285238708868e-10 3.554282071456168892e-12 1.003574508381376312e-13 6.962666695846117808e-15 1.783099288583533599e-14 5.012031374437733141e-15
1.800000000000000044e+00 1.472189339332129479e-10 9.752837876226043324e-11 1.114041277991066410e-12 1.232874675063171041e-11 2.359115229117552233e-12 4.877356858281647201e-13 2.692511709690354916e-13
