# M    H9.0    H11.0    H13.0    H15.0    H17.0    H19.0    H21.0
-3.000000000000000000e+00 6.367391320173410039e-16 2.361231906263002180e-17 5.065369164113676180e-16 4.913177653755518931e-18 6.049791536457160774e-18 3.101901753852002551e-19 7.874215876765580589e-20
-2.799999999999999822e+00 2.446487418420560713e-13 3.809665563000067454e-15 6.204865104712340570e-15 6.986632912920358547e-17 1.348432758490988811e-16 4.380454846040711435e-18 3.064408473925960992e-19
-2.600000000000000089e+00 7.351810268225939790e-12 9.854870734644228268e-14 5.442082621657363267e-14 1.164903126960256522e-15 1.023871529279640749e-15 5.694458999162696255e-17 3.234397164539920848e-19
-2.399999999999999911e+00 8.817219438230525390e-11 1.791657793822193723e-12 2.923323579986813471e-13 2.382455016038843919e-14 1.240911174229406420e-15 2.849345295013967278e-15 3.675190902749524104e-17
-2.200000000000000178e+00 4.545065685361007687e-10 7.881974088478783315e-11 3.841721733933679962e-12 5.793641858428313501e-12 9.501522135046606446e-14 1.149286011043205657e-12 6.588507717362718613e-13
-2.000000000000000000e+00 1.183609909718681480e-09 2.924023171726723562e-10 1.319185018569761453e-11 3.948779262594569888e-11 1.684915821317708030e-12 1.124635582740196667e-11 1.343381613120831441e-11
-1.800000000000000044e+00 1.472174108314253424e-10 9.745427510276800424e-11 1.113936392237728589e-12 1.232612231037883881e-11 2.359025503110023937e-12 4.877351849089595719e-13 2.692520964767996127e-13
-1.600000000000000089e+00 1.723428103571890249e-10 1.942893136501434043e-10 3.554282337609655769e-12 1.003573552847202635e-13 6.962674696866164005e-15 1.783099267483462337e-14 5.012031341932086875e-15
-1.399999999999999911e+00 1.999974630448672232e-11 4.240011085749407020e-10 9.158171840468538559e-12 1.174444194152855325e-12 1.382364440151497985e-13 9.772817685080152014e-13 1.636199100650540313e-12
-1.199999999999999956e+00 3.554492148687867469e-11 3.487001801768456014e-10 4.823063308424412200e-12 3.146314642303372387e-11 3.021390232476970417e-12 3.045635481641528931e-11 9.940731105849925114e-12
-1.000000000000000000e+00 2.512499105016090941e-11 2.317472465582756332e-08 9.706774738660276353e-10 1.119282564484161688e-08 7.897381853773852363e-09 1.125871665652996470e-09 2.471036121041641624e-10
