
# phi0(rad.)              HO10                    HO13                      HO16                  HO19                   HO22
0.0000000000000000e+00 5.5615369084077422e-04 7.8080342060078990e-05 -1.2089518223375943e-05 7.6761008632804072e-06 1.1671614167656786e-05
5.9999999999999998e-02 -9.8999965904463860e-01 -9.1474396829799143e-01 -8.4151556057125354e-01 -2.2719439288723875e-01 -6.6791551569342322e-01
1.0000000000000001e-01 -9.0656498878585146e-01 -9.3269004190301430e-01 -9.1237522589358933e-01 -1.0615858303822406e-01 -2.7441422692323336e-01
2.0000000000000001e-01 -7.3933883856437765e-01 -6.3086704413589501e-01 -7.8043874007450498e-01 -4.3389755763163190e-01 5.1350705555632303e-01
2.9999999999999999e-01 -2.8100003797910222e-01 3.3763204294402172e-01 -6.5137284774826287e-01 -9.7174467342322857e-01 -3.0465872968277097e-01
4.0000000000000002e-01 -2.3047986725823785e-01 -6.2505077578688983e-01 -6.8131336873782722e-01 -5.6614693258711535e-01 1.3587621477973347e-01
5.0000000000000000e-01 3.2298901785526324e-01 2.7338489099968877e-01 4.6993978051297425e-01 9.2186862407128123e-01 6.4633648088302398e-01
5.9999999999999998e-01 9.4710282395437806e-01 9.6536375243848882e-01 9.8105937720965608e-01 9.8876635298247328e-01 7.1664724834261329e-01
6.9999999999999996e-01 9.1186711869496051e-01 9.9808605286889451e-01 9.9977282319550220e-01 9.9994463677363699e-01 9.9993599030769520e-01
8.0000000000000004e-01 9.8354543776595937e-01 9.9762714211299330e-01 9.9865701470317247e-01 9.9940293483616394e-01 9.9958073767605515e-01
9.0000000000000002e-01 9.9177893646533277e-01 9.9636735776246732e-01 9.9670128283407877e-01 9.9776270798825051e-01 9.9793459793603057e-01
1.0000000000000000e+00 9.8880709939565947e-01 9.9380969084098303e-01 9.9454692568960823e-01 9.9515415783248262e-01 9.9503101371275027e-01
1.1000000000000001e+00 9.9609218489171014e-01 9.9077564941705298e-01 9.9513297776089804e-01 9.9453061497825723e-01 9.7720386004170012e-01
1.1599999999999999e+00 9.9413928672480212e-01 9.8676403470873442e-01 9.9625207093177082e-01 9.9828180474646222e-01 9.8814087209845536e-01
1.2000000000000000e+00 9.8883032583875929e-01 9.8325194586811082e-01 9.9654387680323697e-01 9.9966063102009350e-01 9.9651403696856478e-01
1.3000000000000000e+00 9.8038248760883573e-01 9.6841035352717575e-01 9.9499241260937554e-01 9.9823648784618602e-01 9.9668099748469030e-01
1.3999999999999999e+00 9.8928211562822521e-01 9.3674832303936706e-01 9.9200770224503532e-01 9.9536490831151669e-01 9.9440513097590777e-01
1.5000000000000000e+00 9.9426868361109766e-01 9.0845797593100164e-01 9.8979040835165366e-01 9.9343270782766990e-01 9.9282385531651374e-01
1.6000000000000001e+00 9.9489375541947433e-01 9.0320021479985724e-01 9.8937614875787827e-01 9.9307923773087114e-01 9.9253174801861266e-01
1.7000000000000000e+00 9.9214786795224230e-01 9.2280750493437547e-01 9.9090579271410906e-01 9.9439381560825657e-01 9.9361374898527799e-01
1.8000000000000000e+00 9.8345165136670931e-01 9.5698731500889933e-01 9.9377697794678821e-01 9.9700737090768621e-01 9.9572437364457367e-01
1.8999999999999999e+00 9.8268417471230640e-01 9.7860936496107209e-01 9.9624316666493806e-01 9.9959158344204824e-01 9.9753833878656628e-01
2.0000000000000000e+00 9.9552940743986185e-01 9.8815460670978783e-01 9.9595567836200838e-01 9.9713602373702759e-01 9.7702384513986584e-01
2.1000000000000001e+00 9.9184891705940248e-01 9.9289979712554632e-01 9.9435834444577287e-01 9.9405625901637262e-01 9.9223600354642472e-01
2.2000000000000002e+00 9.8991735088418431e-01 9.9533478059867375e-01 9.9570260100025432e-01 9.9678421277048490e-01 9.9693270155452540e-01
2.2999999999999998e+00 9.9138414121608187e-01 9.9740449903480966e-01 9.9796366206759224e-01 9.9880789705025053e-01 9.9897279752387469e-01
2.3999999999999999e+00 9.4690883576844542e-01 9.9718639377666884e-01 9.9947635220218456e-01 9.9990363546474759e-01 9.9994714356927705e-01
2.5000000000000000e+00 9.6618386902667208e-01 9.9019070631408423e-01 9.9805336646522513e-01 9.9963630168782869e-01 9.9713907295628079e-01
2.6000000000000001e+00 8.2795461571738072e-01 8.3049436525766751e-01 7.9293477542804758e-01 9.1237844519183886e-01 2.3576885335252676e-01
2.7000000000000002e+00 -2.0503806079500378e-01 -2.0915044974069852e-01 -3.2758984621421272e-01 4.0254374466813053e-01 9.0102985072254582e-01
2.7999999999999998e+00 -1.5813091897591752e-02 3.5954739462794771e-01 -8.7239831135844648e-01 -9.7980003169512064e-01 -7.4967457134197746e-01
2.8999999999999999e+00 -5.8270802483106965e-01 -3.2209482116792809e-01 -6.6674474164970809e-01 -9.5348506914999387e-01 5.9867886845081897e-01
3.0000000000000000e+00 -8.8439451809302039e-01 -8.7127624885667754e-01 -7.0764706676490130e-01 4.3253287393769768e-02 3.5410178633493572e-01
3.1000000000000001e+00 -9.2595005301110911e-01 -7.3731769729261398e-01 -8.3363342840642651e-01 1.4849959847431937e-01 -7.7226612543326312e-01
3.1400000000000001e+00 -4.6241726669137201e-02 -2.2691093844552673e-01 -7.8877412879499370e-02 3.9872400064565432e-02 -4.2432697029799578e-02
